	Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
	G02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G03	SYBR		Unkn			22.6004117326165	22.6004117326165	0	NaN	NaN	NaN	0	60	
	G04	SYBR		Unkn			22.6336443032271	22.6336443032271	0	NaN	NaN	NaN	0	60	
	G05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G06	SYBR		Unkn			10.9379964027127	10.9379964027127	0	NaN	NaN	NaN	0	60	
	G07	SYBR		Unkn			11.1048950160652	11.1048950160652	0	NaN	NaN	NaN	0	60	
	G08	SYBR		Unkn			11.1308607761465	11.1308607761465	0	NaN	NaN	NaN	0	60	
	G09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	G12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H01	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H02	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H03	SYBR		Unkn			26.5644325651128	26.5644325651128	0	NaN	NaN	NaN	0	60	
	H04	SYBR		Unkn			26.3965786005217	26.3965786005217	0	NaN	NaN	NaN	0	60	
	H05	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H06	SYBR		Unkn			12.8821297078654	12.8821297078654	0	NaN	NaN	NaN	0	60	
	H07	SYBR		Unkn			13.350667593185	13.350667593185	0	NaN	NaN	NaN	0	60	
	H08	SYBR		Unkn			13.6851372526925	13.6851372526925	0	NaN	NaN	NaN	0	60	
	H09	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H10	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H11	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
	H12	SYBR		Unkn			NaN	0	0	NaN	NaN	0	0	60	
